iter	Passed	Remaining
1589	6983	58902
1590	6987	58894
1591	6992	58888
1592	6996	58886
1593	7000	58877
1594	7004	58869
1595	7008	58862
1596	7013	58857
1597	7017	58851
1598	7021	58842
1599	7025	58837
1600	7033	58864
1601	7037	58856
1602	7042	58853
1603	7046	58848
1604	7050	58840
1605	7054	58830
1606	7059	58835
1607	7064	58831
1608	7068	58824
1609	7071	58815
1610	7077	58817
1611	7081	58814
1612	7085	58805
1613	7089	58797
1614	7094	58801
1615	7099	58795
1616	7102	58786
1617	7106	58778
1618	7111	58779
1619	7116	58774
1620	7119	58764
1621	7124	58759
1622	7129	58761
1623	7133	58753
1624	7137	58744
1625	7142	58743
1626	7146	58741
1627	7150	58734
1628	7154	58726
1629	7160	58731
1630	7164	58726
1631	7168	58717
1632	7172	58707
1633	7177	58713
1634	7181	58706
1635	7185	58697
1636	7189	58690
1637	7194	58689
1638	7198	58679
1639	7202	58670
1640	7206	58665
1641	7212	58672
1642	7216	58664
1643	7219	58655
1644	7224	58652
1645	7229	58649
1646	7232	58639
1647	7236	58631
1648	7241	58632
1649	7246	58628
1650	7250	58619
1651	7253	58610
1652	7259	58616
1653	7263	58610
1654	7267	58601
1655	7273	58606
1656	7277	58605
1657	7281	58597
1658	7285	58589
1659	7293	58613
1660	7297	58606
1661	7301	58597
1662	7308	58611
1663	7312	58605
1664	7316	58596
1665	7320	58587
1666	7325	58587
1667	7329	58582
1668	7333	58573
1669	7337	58565
1670	7342	58571
1671	7346	58563
1672	7350	58557
1673	7356	58560
1674	7360	58557
1675	7364	58548
1676	7368	58539
1677	7374	58545
1678	7378	58539
1679	7382	58531
1680	7386	58526
1681	7391	58522
1682	7395	58516
1683	7399	58509
1684	7404	58512
